ID,item_cnt_month
0,0.9011684
1,0.2019698
2,1.4355538
3,0.40383637
4,1.5415189
5,0.9611841
6,1.5059199
7,0.11631593
8,0.90137947
9,0.59615207
10,3.6877382
11,0.3942532
12,0.09451851
13,0.45333028
14,2.2156663
15,5.922536
16,0.060546637
17,0.11631593
18,1.6128283
19,0.31207618
20,0.7139804
21,0.24947956
22,2.4809494
23,0.6476727
24,1.9104804
25,0.56308764
26,0.20971847
27,0.7048033
28,1.5981408
29,7.220278
30,1.4226189
31,0.57085735
32,1.0742828
33,1.8835119
34,0.081819475
35,0.08855453
36,0.08855453
37,1.120068
38,0.3814701
39,0.12572008
40,1.1235144
41,2.4119356
42,6.949072
43,5.918572
44,1.2204794
45,0.1920475
46,1.4361184
47,0.43704098
48,0.5597019
49,1.1534939
50,1.2716103
51,0.7516031
52,0.63546234
53,0.45660108
54,9.754891
55,3.3953276
56,1.9699913
57,1.6122903
58,4.9105077
59,4.7319193
60,5.729301
61,0.22626609
62,0.2237863
63,0.3914585
64,2.6349916
65,0.2019698
66,0.6702104
67,0.052611887
68,1.5118132
69,0.081819475
70,0.2019698
71,3.9378958
72,0.15519115
73,0.81344616
74,2.9704216
75,1.8625178
76,0.41135406
77,2.6349916
78,0.53609943
79,1.1003973
80,1.2957032
81,2.665552
82,1.107742
83,0.3689639
84,0.8816066
85,1.512932
86,0.68758386
87,0.04570982
88,3.4462647
89,1.1199205
90,0.7842095
91,0.76044667
92,1.2001672
93,0.052611887
94,0.63189507
95,0.04437089
96,0.10908693
97,0.5335747
98,1.0344511
99,2.49187
100,1.9421549
101,1.6214442
102,0.2171993
103,1.5262719
104,0.09554726
105,0.5123229
106,0.27814075
107,1.3894649
108,0.11631593
109,0.2019698
110,0.39957142
111,0.39255044
112,0.57085735
113,0.5099911
114,0.19469881
115,0.4170755
116,0.37284458
117,0.05762586
118,13.116123
119,0.10532209
120,0.10532209
121,0.10532209
122,0.52538764
123,0.6384742
124,0.7616516
125,1.6282762
126,0.6509669
127,0.08624011
128,0.25178653
129,0.3242846
130,0.8614942
131,0.03743142
132,1.3442326
133,5.497481
134,0.09133494
135,1.4199308
136,0.57378125
137,0.48981097
138,2.1444645
139,0.2602323
140,0.23070079
141,0.4305835
142,0.11524439
143,0.568596
144,0.25031
145,0.25031
146,0.25031
147,0.07317075
148,0.2602323
149,0.096515924
150,0.11524439
151,0.43455192
152,8.535362
153,0.3165779
154,0.11524439
155,0.1392391
156,0.1891056
157,0.3122956
158,0.16883904
159,0.23374912
160,0.73791206
161,0.3242846
162,0.66311467
163,1.3221897
164,0.3081902
165,0.1370418
166,0.52732116
167,0.066435695
168,0.2602323
169,0.1370418
170,0.3242846
171,0.6453662
172,0.16647777
173,1.7712175
174,3.10907
175,6.5859985
176,2.8688939
177,0.2602323
178,0.30900955
179,0.10803753
180,2.1090932
181,0.18357053
182,0.2305978
183,0.1891056
184,0.19125912
185,0.2602323
186,0.1370418
187,0.14644596
188,0.2602323
189,0.2602323
190,0.22952923
191,0.6310784
192,0.8306484
193,0.1792919
194,0.22952923
195,0.26143992
196,1.0705916
197,3.8651273
198,1.6560222
199,1.5415189
200,0.17708221
201,1.5415189
202,0.057792872
203,1.9319974
204,0.30410767
205,0.7670183
206,0.7670183
207,0.05736381
208,2.0909548
209,0.49657086
210,0.18103558
211,0.07046893
212,0.04570982
213,0.3645357
214,0.12250191
215,0.14069602
216,0.22637159
217,0.08026305
218,1.7901887
219,0.41896632
220,0.3318172
221,2.313993
222,1.5415189
223,1.1261625
224,3.456563
225,0.45987058
226,0.85111326
227,0.13615558
228,0.11712867
229,0.14675412
230,2.6701488
231,1.0545774
232,0.13309795
233,0.104135185
234,0.13309795
235,0.15690607
236,0.6757189
237,1.952269
238,0.65004694
239,0.2060503
240,0.4551189
241,0.07046893
242,0.1119118
243,2.649423
244,0.2019698
245,0.30355874
